Holiday,Date
New Year's Day,"Jan 01, 2020"
Feast of St. Paul's Shipwreck,"Feb 10, 2020"
Feast of St. Joseph,"Mar 19, 2020"
Freedom Day,"Mar 31, 2020"
Good Friday,"Apr 10, 2020"
Labour Day,"May 01, 2020"
Sette Giugno,"Jun 07, 2020"
Feast of St. Peter and St. Paul,"Jun 29, 2020"
Feast of Mary's Assumption,"Aug 15, 2020"
Victory Day,"Sep 08, 2020"
Independence Day,"Sep 21, 2020"
Immaculate Conception,"Dec 08, 2020"
Republic Day,"Dec 13, 2020"
Christmas Day,"Dec 25, 2020"
New Year's Day,"Jan 01, 2021"
Feast of St. Paul's Shipwreck,"Feb 10, 2021"
Feast of St. Joseph,"Mar 19, 2021"
Freedom Day,"Mar 31, 2021"
Good Friday,"Apr 02, 2021"
Labour Day,"May 01, 2021"
Sette Giugno,"Jun 07, 2021"
Feast of St. Peter and St. Paul,"Jun 29, 2021"
Feast of Mary's Assumption,"Aug 15, 2021"
Victory Day,"Sep 08, 2021"
Independence Day,"Sep 21, 2021"
Immaculate Conception,"Dec 08, 2021"
Republic Day,"Dec 13, 2021"
Christmas Day,"Dec 25, 2021"
New Year's Day,"Jan 01, 2022"
Feast of St. Paul's Shipwreck,"Feb 10, 2022"
Feast of St. Joseph,"Mar 19, 2022"
Freedom Day,"Mar 31, 2022"
Good Friday,"Apr 15, 2022"
Labour Day,"May 01, 2022"
Sette Giugno,"Jun 07, 2022"
Feast of St. Peter and St. Paul,"Jun 29, 2022"
Feast of Mary's Assumption,"Aug 15, 2022"
Victory Day,"Sep 08, 2022"
Independence Day,"Sep 21, 2022"
Immaculate Conception,"Dec 08, 2022"
Republic Day,"Dec 13, 2022"
Christmas Day,"Dec 25, 2022"
